,y,x,mass,size,ecc,signal,raw_mass,ep,orig_x,orig_y,Worm,Rep,RNAi,Genotype
291,120.27682832359841,499.36731273418303,1100.1404577515045,7.398688134836367,0.1483699599454671,4.547895638216354,2986.0,0.009393736993999407,801.0045022920759,438.3881794368042,5,3,L4440_RNAi,JM259
332,144.5273033967128,564.7376615061078,1443.7542361201083,7.656925794063024,0.10989859738620109,5.22332568349601,4312.0,0.006175783441831279,821.4955244362661,505.03265446152886,5,3,L4440_RNAi,JM259
361,113.832374900209,638.6748348764086,1121.529075852027,7.824350459406532,0.08374106971983983,4.052580271677939,3189.0,0.008699756411543899,890.8186855100976,545.0724294375075,5,3,L4440_RNAi,JM259
399,137.55913067434813,704.4258148555443,1642.5107841110687,7.664613877514223,0.12199580226971868,6.25898508625815,4696.0,0.005618414399379825,911.956931765222,611.7006881048331,5,3,L4440_RNAi,JM259
418,104.67346011982175,760.8417435812721,832.4900451420193,7.784670359148536,0.09602778124736677,3.0619495386011093,2110.0,0.014324736110632964,972.3666702726092,636.4976200778883,5,3,L4440_RNAi,JM259
453,107.74768015057629,836.0873209488159,595.5491852579158,7.905474179460524,0.08190025426291461,2.4765768326920736,1341.0,0.02656697599023059,1015.6745047633449,698.1075154997732,5,3,L4440_RNAi,JM259
477,105.09768220308405,900.182262823412,657.6887494236441,8.076901709791427,0.04788664096035446,2.4315481630067635,1279.0,0.02853299136343255,1056.7475694919897,747.384157195673,5,3,L4440_RNAi,JM259
491,67.90806248742479,951.2141073893874,1342.9350446946983,8.039263726616662,0.05040488255512125,4.3677809594751125,3755.0,0.007213835909087888,1117.300932135193,765.2896660407725,5,3,L4440_RNAi,JM259
520,97.57562257599625,990.2240252954778,803.0863238375116,7.923537735020607,0.010362104763982985,2.701720181118626,2010.0,0.015237830245157728,1117.4641996075134,814.298962713765,5,3,L4440_RNAi,JM259
535,57.11839604870954,1054.2199873769653,1029.4454463455672,7.933999132044111,0.009986607298640976,3.7824082535660764,2825.0,0.010028179330906918,1188.493920041991,840.5105852506342,5,3,L4440_RNAi,JM259
564,94.81687691792166,1078.57761525653,1413.5850274309505,8.034729350552462,0.05051595349279298,4.908124995698837,3961.0,0.006791640084116442,1173.3726308412704,882.7695027553914,5,3,L4440_RNAi,JM259
584,51.98001941376248,1148.6761953154078,955.4633420526021,7.696447750663831,0.028493107273742706,3.602293574824835,2372.0,0.012380953062121901,1250.0019793581225,912.3794712286159,5,3,L4440_RNAi,JM259
